2023-03-18 12:07:12,040 INFO    Thread-29 :27764 [wandb_setup.py:_flush():68] Configure stats pid to 27764
2023-03-18 12:07:12,056 INFO    Thread-29 :27764 [wandb_setup.py:_flush():68] Loading settings from C:\Users\Shivam Maurya\.config\wandb\settings
2023-03-18 12:07:12,056 INFO    Thread-29 :27764 [wandb_setup.py:_flush():68] Loading settings from C:\Users\Shivam Maurya\OneDrive\Desktop\IIT_MADRAS\Deep Learning\assignment 1\CS6910-Deep_Learning_Assignment-1\wandb\settings
2023-03-18 12:07:12,056 INFO    Thread-29 :27764 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'project': 'CS6910_Assignment', 'entity': 'cs22m083', 'root_dir': 'C:\\Users\\Shivam Maurya\\OneDrive\\Desktop\\IIT_MADRAS\\Deep Learning\\assignment 1\\CS6910-Deep_Learning_Assignment-1', 'run_id': 'i7xk88bt', 'sweep_param_path': 'C:\\Users\\Shivam Maurya\\OneDrive\\Desktop\\IIT_MADRAS\\Deep Learning\\assignment 1\\CS6910-Deep_Learning_Assignment-1\\wandb\\sweep-o4j6e3d6\\config-i7xk88bt.yaml', 'sweep_id': 'o4j6e3d6'}
2023-03-18 12:07:12,056 INFO    Thread-29 :27764 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-03-18 12:07:12,056 INFO    Thread-29 :27764 [wandb_init.py:_log_setup():492] Logging user logs to C:\Users\Shivam Maurya\OneDrive\Desktop\IIT_MADRAS\Deep Learning\assignment 1\CS6910-Deep_Learning_Assignment-1\wandb\run-20230318_120712-i7xk88bt\logs\debug.log
2023-03-18 12:07:12,056 INFO    Thread-29 :27764 [wandb_init.py:_log_setup():493] Logging internal logs to C:\Users\Shivam Maurya\OneDrive\Desktop\IIT_MADRAS\Deep Learning\assignment 1\CS6910-Deep_Learning_Assignment-1\wandb\run-20230318_120712-i7xk88bt\logs\debug-internal.log
2023-03-18 12:07:12,056 INFO    Thread-29 :27764 [wandb_init.py:init():532] calling init triggers
2023-03-18 12:07:12,056 INFO    Thread-29 :27764 [wandb_init.py:init():538] wandb.init called with sweep_config: {'activation': 'relu', 'batch_size': 32, 'epochs': 10, 'gamma': 0.0006, 'hidden_layers': [32, 64, 128], 'initialization': 'Random', 'learning_rate': 0.01, 'optimizer': 'sgd', 'weight_decay': 0}
config: {}
2023-03-18 12:07:12,056 INFO    Thread-29 :27764 [wandb_init.py:init():588] starting backend
2023-03-18 12:07:12,056 INFO    Thread-29 :27764 [wandb_init.py:init():592] setting up manager
2023-03-18 12:07:12,063 INFO    Thread-29 :27764 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-03-18 12:07:12,074 INFO    Thread-29 :27764 [wandb_init.py:init():599] backend started and connected
2023-03-18 12:07:12,088 INFO    Thread-29 :27764 [wandb_run.py:_config_callback():1250] config_cb None None {'activation': 'relu', 'batch_size': 32, 'epochs': 10, 'gamma': 0.0006, 'hidden_layers': [32, 64, 128], 'initialization': 'Random', 'learning_rate': 0.01, 'optimizer': 'sgd', 'weight_decay': 0}
2023-03-18 12:07:12,088 INFO    Thread-29 :27764 [wandb_run.py:_label_probe_notebook():1203] probe notebook
2023-03-18 12:07:12,088 INFO    Thread-29 :27764 [wandb_run.py:_label_probe_notebook():1213] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-03-18 12:07:12,088 INFO    Thread-29 :27764 [wandb_init.py:init():687] updated telemetry
2023-03-18 12:07:12,135 INFO    Thread-29 :27764 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-03-18 12:07:12,813 INFO    Thread-29 :27764 [wandb_run.py:_on_init():2134] communicating current version
2023-03-18 12:07:12,860 INFO    Thread-29 :27764 [wandb_run.py:_on_init():2143] got version response upgrade_message: "wandb version 0.14.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-03-18 12:07:12,860 INFO    Thread-29 :27764 [wandb_init.py:init():775] starting run threads in backend
2023-03-18 12:07:23,659 INFO    Thread-29 :27764 [wandb_run.py:_console_start():2114] atexit reg
2023-03-18 12:07:23,659 INFO    Thread-29 :27764 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-18 12:07:23,659 INFO    Thread-29 :27764 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-18 12:07:23,663 INFO    Thread-29 :27764 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-18 12:07:23,663 INFO    Thread-29 :27764 [wandb_init.py:init():817] run started, returning control to user process
2023-03-18 12:10:38,199 INFO    Thread-29 :27764 [wandb_run.py:_finish():1854] finishing run cs22m083/CS6910_Assignment/i7xk88bt
2023-03-18 12:10:38,199 INFO    Thread-29 :27764 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 0
2023-03-18 12:10:38,200 INFO    Thread-29 :27764 [wandb_run.py:_restore():2066] restore
2023-03-18 12:10:38,200 INFO    Thread-29 :27764 [wandb_run.py:_restore():2072] restore done
2023-03-18 12:10:43,786 INFO    Thread-29 :27764 [wandb_run.py:_footer_history_summary_info():3442] rendering history
2023-03-18 12:10:43,787 INFO    Thread-29 :27764 [wandb_run.py:_footer_history_summary_info():3474] rendering summary
2023-03-18 12:10:43,793 INFO    Thread-29 :27764 [wandb_run.py:_footer_sync_info():3398] logging synced files
