2023-03-19 16:06:31,784 INFO    Thread-103:21744 [wandb_setup.py:_flush():68] Configure stats pid to 21744
2023-03-19 16:06:31,785 INFO    Thread-103:21744 [wandb_setup.py:_flush():68] Loading settings from C:\Users\Shivam Maurya\.config\wandb\settings
2023-03-19 16:06:31,785 INFO    Thread-103:21744 [wandb_setup.py:_flush():68] Loading settings from C:\Users\Shivam Maurya\OneDrive\Desktop\IIT_MADRAS\Deep Learning\assignment 1\CS6910-Deep_Learning_Assignment-1\wandb\settings
2023-03-19 16:06:31,785 INFO    Thread-103:21744 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'project': 'CS6910_Assignment_1_', 'entity': 'cs22m083', 'root_dir': 'C:\\Users\\Shivam Maurya\\OneDrive\\Desktop\\IIT_MADRAS\\Deep Learning\\assignment 1\\CS6910-Deep_Learning_Assignment-1', 'run_id': 'a5j6tkjm', 'sweep_param_path': 'C:\\Users\\Shivam Maurya\\OneDrive\\Desktop\\IIT_MADRAS\\Deep Learning\\assignment 1\\CS6910-Deep_Learning_Assignment-1\\wandb\\sweep-l8gb2vl6\\config-a5j6tkjm.yaml', 'sweep_id': 'l8gb2vl6'}
2023-03-19 16:06:31,785 INFO    Thread-103:21744 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-03-19 16:06:31,786 INFO    Thread-103:21744 [wandb_init.py:_log_setup():492] Logging user logs to C:\Users\Shivam Maurya\OneDrive\Desktop\IIT_MADRAS\Deep Learning\assignment 1\CS6910-Deep_Learning_Assignment-1\wandb\run-20230319_160631-a5j6tkjm\logs\debug.log
2023-03-19 16:06:31,786 INFO    Thread-103:21744 [wandb_init.py:_log_setup():493] Logging internal logs to C:\Users\Shivam Maurya\OneDrive\Desktop\IIT_MADRAS\Deep Learning\assignment 1\CS6910-Deep_Learning_Assignment-1\wandb\run-20230319_160631-a5j6tkjm\logs\debug-internal.log
2023-03-19 16:06:31,786 INFO    Thread-103:21744 [wandb_init.py:init():532] calling init triggers
2023-03-19 16:06:31,786 INFO    Thread-103:21744 [wandb_init.py:init():538] wandb.init called with sweep_config: {'activation': 'relu', 'batch_size': 64, 'epochs': 10, 'gamma': 0.03, 'hidden_layers': [32, 64], 'initialization': 'Xavier', 'learning_rate': 0.0003, 'optimizer': 'adam', 'weight_decay': 0.5}
config: {}
2023-03-19 16:06:31,786 INFO    Thread-103:21744 [wandb_init.py:init():588] starting backend
2023-03-19 16:06:31,786 INFO    Thread-103:21744 [wandb_init.py:init():592] setting up manager
2023-03-19 16:06:31,798 INFO    Thread-103:21744 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-03-19 16:06:31,814 INFO    Thread-103:21744 [wandb_init.py:init():599] backend started and connected
2023-03-19 16:06:31,849 INFO    Thread-103:21744 [wandb_run.py:_config_callback():1250] config_cb None None {'activation': 'relu', 'batch_size': 64, 'epochs': 10, 'gamma': 0.03, 'hidden_layers': [32, 64], 'initialization': 'Xavier', 'learning_rate': 0.0003, 'optimizer': 'adam', 'weight_decay': 0.5}
2023-03-19 16:06:31,851 INFO    Thread-103:21744 [wandb_run.py:_label_probe_notebook():1203] probe notebook
2023-03-19 16:06:31,851 INFO    Thread-103:21744 [wandb_run.py:_label_probe_notebook():1213] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-03-19 16:06:31,851 INFO    Thread-103:21744 [wandb_init.py:init():687] updated telemetry
2023-03-19 16:06:31,895 INFO    Thread-103:21744 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-03-19 16:06:32,552 INFO    Thread-103:21744 [wandb_run.py:_on_init():2134] communicating current version
2023-03-19 16:06:32,629 INFO    Thread-103:21744 [wandb_run.py:_on_init():2143] got version response upgrade_message: "wandb version 0.14.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-03-19 16:06:32,629 INFO    Thread-103:21744 [wandb_init.py:init():775] starting run threads in backend
2023-03-19 16:06:43,462 INFO    Thread-103:21744 [wandb_run.py:_console_start():2114] atexit reg
2023-03-19 16:06:43,462 INFO    Thread-103:21744 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-19 16:06:43,463 INFO    Thread-103:21744 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-19 16:06:43,463 INFO    Thread-103:21744 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-19 16:06:43,463 INFO    Thread-103:21744 [wandb_init.py:init():817] run started, returning control to user process
2023-03-19 16:09:31,834 INFO    Thread-103:21744 [wandb_run.py:_finish():1854] finishing run cs22m083/CS6910_Assignment_1_/a5j6tkjm
2023-03-19 16:09:31,834 INFO    Thread-103:21744 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 0
2023-03-19 16:09:31,834 INFO    Thread-103:21744 [wandb_run.py:_restore():2066] restore
2023-03-19 16:09:31,834 INFO    Thread-103:21744 [wandb_run.py:_restore():2072] restore done
2023-03-19 16:09:37,626 INFO    Thread-103:21744 [wandb_run.py:_footer_history_summary_info():3442] rendering history
2023-03-19 16:09:37,626 INFO    Thread-103:21744 [wandb_run.py:_footer_history_summary_info():3474] rendering summary
2023-03-19 16:09:37,630 INFO    Thread-103:21744 [wandb_run.py:_footer_sync_info():3398] logging synced files
